@relation 'max_min_all_fin-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5'

@attribute Fmax numeric
@attribute Fmin numeric
@attribute Mmax numeric
@attribute Mmin numeric
@attribute Class numeric

@data
0.1207,-1.27898,0.127,0.00622,1
0.01759,-1.27556,0.064367,0.00905,3
0.018247,-1.361467,0.0654,0.005267,3
0.022387,-1.295157,0.117567,0.002633,2
0.19349,-1.36063,0.1197,0.000483,1
0.010867,-1.306227,0.053367,0.0053,3
0.55291,-1.227357,0.094967,0.00055,1
0.017447,-1.217623,0.059967,0.00481,3
0.017883,-1.181623,0.122933,0.001877,1
0.016137,-1.422677,0.0665,0.002117,3
0.36442,-1.582757,0.0909,0.000247,1
0.017753,-1.45139,0.084333,0.002147,1
0.125377,-1.321593,0.089867,0.013393,1
0.024787,-1.256247,0.137933,0.009373,1
0.084083,-1.267927,0.094233,0.018967,1
0.05394,-1.329787,0.130933,0.009113,1
0.02634,-1.312777,0.1036,-0.01068,1
0.01267,-1.231677,0.090033,-0.002623,1
0.014357,-1.283743,0.1407,0.00288,1
0.026283,-1.231127,0.110567,0.005607,1
0.010057,-1.286987,0.091567,0.002837,3
0.015777,-1.257877,0.0885,0.01156,1
0.011723,-1.194037,0.120767,0.00027,1
0.02751,-1.23094,0.110467,0.007237,1
0.016977,-1.34937,0.1202,-0.002393,1
0.01388,-1.24469,0.064533,0.001283,3
0.009397,-1.302703,0.106567,0.007813,1
0.013657,-1.55322,0.1515,0.005333,1
0.016543,-1.2724,0.109933,0.006597,1
0.013867,-1.428907,0.1303,0.002323,2
0.01378,-1.265373,0.088567,-0.003867,2
0.253457,-1.34223,0.112933,0.006663,1
0.039433,-1.36276,0.104167,-0.004123,2
0.014013,-1.340083,0.095733,-0.003017,1
0.02301,-1.370033,0.080133,0.00008,1
0.01036,-1.266407,0.029867,0.00038,3
0.009247,-1.236747,0.047,-0.002093,3
0.00925,-1.335433,0.145233,-0.00626,1
0.008573,-1.255633,0.077033,-0.004103,3
0.017463,-1.25673,0.126233,0.003933,1
0.138047,-1.2712,0.138933,-0.00726,1
0.01641,-1.228477,0.101833,0.00676,2
0.406807,-1.272587,0.09,-0.005943,1
0.013937,-1.35622,0.059,0.005347,3
0.01667,-1.583663,0.116967,0.009567,1
0.115327,-1.463177,0.114367,0.008023,2
0.02086,-1.251993,0.0696,0.005523,3
0.018457,-1.326877,0.111133,0.0102,1
0.01856,-1.223707,0.1261,-0.00134,1
0.08975,-1.260557,0.097867,0.004203,2
0.019897,-1.32566,0.132467,0.00577,2
0.016617,-1.203417,0.0503,0.008393,3
0.019157,-1.287973,0.106067,0.00445,2
0.017877,-1.2762,0.080367,0.012227,3
0.09092,-1.338837,0.101867,0.007803,2
0.014087,-1.305287,0.0588,0.00132,3
0.016807,-1.296253,0.080433,-0.004367,2
0.01122,-1.076127,0.0679,-0.00451,2
0.0083,-1.271523,0.089167,-0.00685,1
0.235273,-1.287307,0.1326,-0.001583,2
0.004237,-1.32457,0.104933,-0.004403,2
0.00118,-1.283607,0.0833,-0.014563,3
0.001453,-1.271347,0.126433,-0.015677,2
0.021217,-1.34445,0.094867,0.016877,1
0.011557,-1.373107,0.0921,-0.002287,1
0.010357,-1.370433,0.1069,-0.005233,1
0.011677,-1.26064,0.127867,0.005997,1
0.012637,-1.266473,0.132867,-0.011203,1
0.01147,-1.276583,0.1373,0.008567,1
0.0141,-1.324533,0.137267,0.00839,3
0.069287,-1.390543,0.128267,0.009793,1
0.01128,-1.214653,0.115533,0.00553,1
0.01942,-1.385183,0.104033,0.006457,1
0.00553,-1.459273,0.084233,-0.01025,2
0.009713,-1.19231,0.0296,-0.003867,3
0.014377,-1.25392,0.090833,0.009953,2
0.015783,-1.217553,0.082867,-0.002533,1
0.022683,-1.590333,0.128267,0.01452,1
0.02729,-1.23155,0.105767,-0.004093,1
0.012963,-1.43208,0.086333,0.001837,2
0.069927,-1.335187,0.099667,0.007297,1
0.014387,-1.25953,0.076833,0.00172,1
0.074633,-1.231827,0.109867,0.01429,1
0.018277,-1.284547,0.105133,0.003953,1
0.014033,-1.364513,0.093667,-0.001643,1
0.15854,-1.507513,0.0948,0.006793,1
0.026423,-1.414893,0.079967,0.00295,1
0.018213,-1.354,0.081633,0.011093,1
0.010137,-1.20517,0.122233,0.000073,1
0.012997,-1.229307,0.1085,0.005697,1
0.01987,-1.19524,0.120867,0.00543,1
0.01944,-1.305877,0.135,0.008313,2
0.280917,-1.414223,0.111267,0.012563,1
0.35606,-1.384367,0.1036,0.005543,1
-0.00655,-7.955183,0.086367,-7.955183,3
0.027927,-1.327857,0.1231,0.00015,2
0.01857,-1.370687,0.156167,-0.010887,1
0.03314,-1.352807,0.0821,0.012757,2
0.022857,-1.316657,0.1362,0.014353,1
0.17924,-1.373043,0.091367,0.007437,1
0.022553,-1.236163,0.081833,0.001713,3
0.035893,-1.41679,0.0892,-0.00203,3
-0.383773,-1.80285,0.0465,-1.796633,3
0.019373,-1.246067,0.177,0.015023,1
0.123073,-1.252533,0.1025,0.013273,3
0.07295,-1.234577,0.115167,0.007397,1
0.018773,-1.32828,0.1229,0.007327,1
0.150527,-1.530663,0.113033,0.00455,1
0.133483,-1.251337,0.105833,0.01159,1
0.017437,-1.312753,0.087667,0.00357,3
0.016357,-1.331533,0.107,0.00091,1
0.036213,-1.26613,0.1155,0.01629,1
0.020537,-1.297433,0.0711,0.010827,3
0.020643,-1.417697,0.106233,0.00663,1
0.129727,-1.353493,0.088,0.015497,1
0.015757,-1.521073,0.101833,0.007087,1
